"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";32.472.419;
"online Visit-Anteil Inland:";88;
"online PIs:";72.277.789;
"online PI-Anteil Inland:";88;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Süddeutsche.de";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.sueddeutsche.de";
"Anbieter:";"Süddeutsche Zeitung Digitale Medien GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"   Wohnen / Immobilien / Garten / Haushalt";---;---;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Wirtschaft / Finanzen / Job / Karriere";1.597.106;1.972.636;1.731.659;2.135.282;1.720.886;2.118.674;1.430.489;1.767.752;2.286.852;2.834.592;2.654.585;3.276.847;2.313.781;2.852.673;2.812.655;3.501.155;3.685.922;4.584.031;2.182.138;2.858.319;2.778.681;3.611.657;2.038.343;2.628.449;2.768.608;3.589.350;2.753.240;3.540.111;2.659.354;3.379.466;2.780.914;3.817.424;2.991.859;4.083.482;2.354.345;3.184.517;2.816.276;3.980.831;2.478.529;3.462.481;3.100.510;4.422.762;2.492.851;3.592.898;2.662.429;3.844.043;2.078.327;3.379.615;2.072.775;3.358.155;
"   Gesundheit";975.415;1.206.359;1.308.404;1.631.377;849.079;1.051.797;1.120.510;1.375.153;1.060.623;1.315.077;1.393.943;1.675.143;1.760.218;2.239.836;3.055.498;3.984.414;5.647.856;7.375.578;1.345.281;1.777.783;758.794;990.342;208.782;286.335;300.136;411.166;374.229;495.093;301.682;417.470;440.361;585.919;537.266;722.448;342.639;491.366;301.358;444.190;425.650;591.475;537.930;735.264;375.328;570.880;582.174;816.524;356.244;504.590;364.408;566.296;
"   Essen / Trinken";3.918;5.430;3.715;8.404;3.470;8.060;3.839;9.090;4.178;9.774;2.609;5.872;3.091;5.730;2.588;4.934;4.860;11.127;5.743;16.680;8.152;22.210;5.274;14.329;6.101;17.416;6.415;19.657;6.000;15.879;5.450;14.292;6.353;17.229;5.347;14.127;6.531;19.758;95.556;603.705;113.487;929.189;108.764;853.288;136.562;977.632;187.877;1.124.374;192.315;1.129.303;
"   Kunst / Kultur / Literatur";910.388;1.115.793;1.140.038;1.407.847;762.784;932.608;849.751;1.046.949;903.182;1.092.609;774.704;942.425;1.185.572;1.426.088;1.357.779;1.765.405;1.435.589;2.367.021;978.122;2.617.130;960.105;2.547.674;1.022.910;2.605.708;955.359;2.396.194;956.430;2.656.949;914.744;2.461.684;784.569;2.186.511;1.023.392;2.440.859;909.096;2.147.311;1.023.408;2.527.573;1.032.617;2.749.070;1.061.795;2.647.487;980.868;2.826.245;848.308;2.193.890;583.447;1.918.231;558.348;1.592.222;
"   Erotik";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Wissenschaft / Bildung / Natur / Umwelt";1.165.666;1.377.009;1.226.077;1.462.133;921.886;1.112.247;1.056.162;1.256.500;1.302.258;1.562.392;1.406.118;1.673.061;1.048.772;1.327.014;2.383.127;2.908.034;1.934.587;2.479.065;760.093;1.145.216;933.191;1.293.221;906.372;1.207.638;1.038.309;1.430.635;799.576;1.313.427;954.471;1.297.915;1.026.344;1.592.485;1.022.212;1.616.606;927.273;1.385.969;1.254.529;1.805.525;804.684;1.213.490;948.776;1.531.088;1.033.411;1.773.618;1.143.416;1.608.194;970.320;2.532.167;1.024.954;5.434.723;
"   Angebotsinformation";7.257;11.119;6.783;10.207;6.014;9.184;8.907;12.589;13.418;17.978;13.954;18.475;13.380;18.509;17.525;23.256;18.283;24.549;14.197;19.412;15.550;21.300;14.075;18.417;15.281;20.243;20.293;40.023;19.591;31.990;18.345;31.797;19.759;34.481;10.012;18.477;8.994;19.667;9.388;19.145;12.131;24.012;18.141;31.071;21.262;37.739;17.666;29.198;23.197;38.409;
"   Vermischtes (multithematisch)";16.206.052;24.617.713;15.270.942;23.082.734;11.763.595;17.734.226;11.843.164;17.967.805;12.666.166;19.086.802;13.218.286;19.781.129;13.120.851;19.667.010;17.911.956;27.088.841;20.843.433;32.879.981;13.067.732;20.572.021;12.167.934;19.282.098;10.797.063;16.901.862;11.705.312;18.278.365;11.999.411;18.950.498;11.728.714;18.779.290;11.109.085;18.246.873;12.254.341;20.179.571;10.757.174;17.305.894;12.292.112;20.125.385;11.074.044;18.001.091;12.096.626;19.676.164;10.857.263;17.706.724;12.812.658;21.823.350;11.065.934;18.079.786;11.891.054;19.276.267;
"   Sonstiges (monothematisch)";3;3;2;2;5;5;4;4;2;3;8;11;7;8;9;11;6;6;5;6;4;4;6;6;23;25;13;14;18;20;20;25;24;26;53;58;75;81;179;190;650;678;135.329;185.448;180.557;247.510;108.948;145.490;127.161;169.332;
