Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20082;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;181435;171913;245667;;77089;;;52569;109808;57239;39996;;2259;9522;;;;;9622;9439;;;1569;;;6553;13206;6653;1284;;33;183;;;;209;;;;;;;;;;;;;;;;;;530097
20081;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;187592;183366;250667;;77799;;;62262;118943;56681;39983;;3322;4226;;;;;8822;8739;;;1592;;;5822;13635;7813;1296;;29;83;;;;209;;;;;;;;;;;;;;;;;;530097
20074;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;203589;200423;266667;;78562;;;76745;133688;56943;40136;;4980;3166;;;;;9925;9865;;;1610;;;6898;13473;6575;1322;;35;60;;;;209;;;;;;;;;;;;;;;;;;530097
20073;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;193700;190478;253333;;79993;;;65531;118092;52561;40198;;4756;3222;;;;;8590;8535;;;1632;;;5518;13102;7584;1345;;40;55;;;;209;;;;;;;;;;;;;;;;;;530097
20072;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;196915;193648;257333;;83039;;;65543;120037;54494;40224;;4842;3267;;;;;9449;9386;;;1675;;;6317;13417;7100;1353;;41;63;;;;209;;;;;;;;;;;;;;;;;;530097
20071;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;197883;193052;267024;;85845;;;62930;124816;61886;40218;;4059;4831;;;;;8590;8525;;;1708;;;5457;13980;8523;1319;;41;65;;;;209;;;;;;;;;;;;;;;;;;530097
20064;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;222259;218062;281920;;84155;;;90943;145398;54455;40148;;2816;4197;;;;;11107;11031;;;1700;;;7970;15297;7327;1326;;35;76;;;;209;;;;;;;;;;;;;;;;;;530097
20063;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;205214;201539;251929;;84120;;;74791;116425;41634;40025;;2603;3675;;;;;9166;9096;;;1707;;;6030;13452;7422;1326;;33;70;;;;209;;;;;;;;;;;;;;;;;;530097
20062;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;196877;193232;256833;;85063;;;65016;119683;54667;40179;;2974;3645;;;;;8786;8711;;;1706;;;5636;13905;8269;1337;;32;75;;;;209;;;;;;;;;;;;;;;;;;530097
20061;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;207892;204073;274358;;86413;;;71242;133352;62110;40127;;6291;3819;;;;;9331;9263;;;1695;;;6214;15298;9084;1323;;31;68;;;;209;;;;;;;;;;;;;;;;;;530097
