Quartal,IVW-Nr.,Titel-Nr.,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20062,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4268903,4265383,4275725,4265383,,,,,,,,,,3520,,,,,3959,3942,,3942,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
20061,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4169831,4157658,4176075,4157658,,,,,,,,,,12173,,,,,3766,3708,,3708,,,,,,,,,,58,,,,401,,,,,,,,,,,,,,,,,,597953
20054,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4198180,4194608,4204683,4194608,,,,,,,,,,3572,,,,,3625,3533,,3533,,,,,,,,,,92,,,,401,,,,,,,,,,,,,,,,,,597953
20053,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4107888,4103108,4115025,4103108,,,,,,,,,,4780,,,,,3025,2675,,2675,,,,,,,,,,350,,,,401,,,,,,,,,,,,,,,,,,597953
20052,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3916933,3912108,3926800,3912108,,,,,,,,,,4825,,,,,2183,1942,,1942,,,,,,,,,,241,,,,401,,,,,,,,,,,,,,,,,,597953
20051,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3716526,3704333,3724508,3704333,,,,,,,,,,12193,,,,,2009,1892,,1892,,,,,,,,,,117,,,,401,,,,,,,,,,,,,,,,,,597953
20044,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3673986,3658725,3679184,3658725,,,,,,,,,,15261,,,,,1692,1650,,1650,,,,,,,,,,42,,,,401,,,,,,,,,,,,,,,,,,597953
20043,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3461843,3428366,3469258,3428366,,,,,,,,,,33477,,,,,1442,1342,,1342,,,,,,,,,,100,,,,401,,,,,,,,,,,,,,,,,,597953
20042,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3421880,3369308,3427850,3369308,,,,,,,,,,52572,,,,,1383,1342,,1342,,,,,,,,,,41,,,,401,,,,,,,,,,,,,,,,,,597953
20041,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,3290888,3276783,3302566,3276783,,,,,,,,,,14105,,,,,1400,1375,,1375,,,,,,,,,,25,,,,401,,,,,,,,,,,,,,,,,,597953
