Quartal,IVW-Nr,Quellzusatz,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20181,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,77867,75830,163311,,32569,22,,39234,122534,83300,1669,,2358,2037,,,,,27210,27123,,,3607,,,21884,53122,31238,2,,1630,87,,,,205,,,,,,,,,,,,,,,,,,598000
20174,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,95973,94188,176946,,33313,22,,56852,134739,77887,1684,,2339,1785,,,,,33446,33357,,,3685,,,28062,54670,26608,2,,1608,89,,,,205,,,,,,,,,,,,,,,,,,598000
20173,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,95466,93672,180046,,33977,22,,55373,137869,82496,1989,,2333,1794,,,,,25934,25846,,,3725,,,20505,54579,34074,2,,1614,88,,,,205,,,,,,,,,,,,,,,,,,598000
20172,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,107766,106201,184340,,34634,21,,67246,140577,73331,1927,,2394,1565,,,,,35587,35498,,,3808,,,30014,54795,24781,2,,1674,89,,,,205,,,,,,,,,,,,,,,,,,598000
20171,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,107130,105046,190161,,34728,22,,65980,145965,79985,1935,,2403,2084,,,,,31216,31105,,,3864,,,25569,56233,30664,2,,1670,111,,,,205,,,,,,,,,,,,,,,,,,598000
20164,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,110683,108375,188592,,35061,23,,68747,142832,74085,1960,,2607,2308,,,,,34360,34196,,,3885,,,28505,55718,27213,2,,1804,164,,,,205,,,,,,,,,,,,,,,,,,598000
20163,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,105581,103209,187903,,35895,24,,62638,139728,77090,2003,,2673,2372,,,,,29981,29818,,,3979,,,24009,56637,32628,2,,1828,163,,,,205,,,,,,,,,,,,,,,,,,598000
20162,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,122904,120663,186983,,36865,24,,79047,138895,59848,2007,,2744,2241,,,,,40033,39869,,,4129,,,33807,56674,22867,2,,1931,164,,,,205,,,,,,,,,,,,,,,,,,598000
20161,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,117300,116157,185393,,37482,24,,73697,136803,63106,2013,,2965,1143,,,,,36580,36401,,,4489,,,29816,56197,26381,2,,2094,179,,,,205,,,,,,,,,,,,,,,,,,598000
20154,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,110268,109100,187909,,36886,24,,67253,138562,71309,2013,,2948,1168,,,,,31384,31205,,,4113,,,25041,56418,31377,2,,2049,179,,,,205,,,,,,,,,,,,,,,,,,598000
20153,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,110990,109840,193209,,37312,24,,67314,138442,71128,2040,,3174,1150,,,,,30013,29839,,,4133,,,23614,57989,34375,2,,2090,174,,,,205,,,,,,,,,,,,,,,,,,598000
20152,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,112071,110942,188558,,38729,24,,66826,139143,72317,2053,,3334,1129,,,,,38642,38453,,,4608,,,31774,59941,28167,2,,2069,189,,,,205,,,,,,,,,,,,,,,,,,598000
20151,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,123220,122096,196958,,39382,33,,76866,146039,69173,2073,,3775,1124,,,,,39851,39680,,,4420,,,32949,60709,27760,2,,2309,171,,,,205,,,,,,,,,,,,,,,,,,598000
20144,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,115856,114766,190717,,39341,39,,69015,138009,68994,2115,,4295,1090,,,,,36454,36323,,,4395,,,29542,57593,28051,2,,2384,131,,,,205,,,,,,,,,,,,,,,,,,598000
20143,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,118631,117678,199795,,40251,38,,71542,145285,73743,2120,,3765,953,,,,,35343,35255,,,4420,,,28609,59415,30806,2,,2224,88,,,,205,,,,,,,,,,,,,,,,,,598000
20142,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,130411,129400,202116,,40654,39,,83154,149431,66277,2112,,3480,1011,,,,,42737,42650,,,4551,,,35887,61381,25494,2,,2210,87,,,,205,,,,,,,,,,,,,,,,,,598000
20141,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,126260,125105,203124,,40727,39,,78618,149305,70687,2103,,3657,1155,,,,,38851,38760,,,4666,,,31740,61496,29756,2,,2352,91,,,,205,,,,,,,,,,,,,,,,,,598000
20134,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,120705,119619,205404,,40541,38,,72948,150892,77944,2096,,4034,1086,,,,,40647,40547,,,4646,,,33410,61297,27887,2,,2489,100,,,,205,,,,,,,,,,,,,,,,,,598000
20133,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,132466,131404,221159,,41058,37,,84313,159343,75030,2091,,3942,1062,,,,,44120,44008,,,4745,,,36690,62803,26113,2,,2571,112,,,,205,,,,,,,,,,,,,,,,,,598000
20132,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,137963,136605,209408,,41274,37,,89638,154279,64641,2087,,3606,1358,,,,,41661,41511,,,4830,,,34366,61605,27239,2,,2313,150,,,,205,,,,,,,,,,,,,,,,,,598000
20131,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,134998,133363,204827,,40704,22,,86477,149493,63016,2082,,4100,1635,,,,,41501,41326,,,4709,,,34087,59588,25501,2,,2528,175,,,,205,,,,,,,,,,,,,,,,,,598000
20124,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,133713,132225,202972,,40407,22,,85678,148199,62521,2084,,4056,1488,,,,,43158,43038,,,4633,,,35914,59298,23384,2,,2489,120,,,,205,,,,,,,,,,,,,,,,,,598000
20123,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,139878,138280,202349,,40107,22,,92150,148318,56168,2078,,3945,1598,,,,,45044,44937,,,4594,,,38009,59361,21352,2,,2332,107,,,,205,,,,,,,,,,,,,,,,,,598000
20122,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,137564,135943,203267,,40728,23,,89220,149462,60242,2065,,3930,1621,,,,,43288,43183,,,4758,,,36175,60391,24216,2,,2248,105,,,,205,,,,,,,,,,,,,,,,,,598000
20121,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,127904,126313,202572,,41167,25,,79516,148356,68840,2058,,3572,1591,,,,,39464,39359,,,4868,,,32249,60382,28133,2,,2240,105,,,,205,,,,,,,,,,,,,,,,,,598000
20114,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,125556,123967,205001,,41578,26,,76981,150323,73342,2053,,3355,1589,,,,,38008,37833,,,4832,,,30806,61583,30777,2,,2193,175,,,,205,,,,,,,,,,,,,,,,,,598000
20113,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,132370,130750,212769,,42053,26,,83267,157020,73753,2056,,3374,1620,,,,,39121,38952,,,4812,,,31965,62460,30495,2,,2173,169,,,,205,,,,,,,,,,,,,,,,,,598000
20112,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,142860,141348,211244,,42432,26,,93435,151940,58505,2056,,3425,1512,,,,,44357,44201,,,4928,,,37088,61071,23983,2,,2183,156,,,,205,,,,,,,,,,,,,,,,,,598000
20111,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,141815,140249,205922,,42147,24,,92220,148321,56101,2043,,3839,1566,,,,,48265,48144,,,5152,,,40646,62606,21960,2,,2344,121,,,,205,,,,,,,,,,VK,,,,,,,,598000
20111,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,145490,143924,205922,,42147,24,,85228,137654,52426,2043,,14506,1566,,,,,51940,51819,,,5152,,,33654,51939,18285,2,,13011,121,,,,205,,,,,,,,,,,,,,,,,,598000
20104,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,137157,135904,206349,,41943,25,,77249,139085,61836,2059,,14653,1253,,,,,51570,51497,,,5221,,,33155,52723,19568,1,,13120,73,,,,205,,,,,,,,,,,,,,,,,,598000
20103,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,135095,133758,220134,,42284,26,,75525,152102,76577,2085,,13864,1337,,,,,44638,44560,,,4792,,,27495,55209,27714,,,12273,78,,,,205,,,,,,,,,,,,,,,,,,598000
20102,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,143512,142401,227594,,43312,298,,84249,157582,73333,2116,,12724,1111,,,,,46808,46717,,,5177,3,,30216,57871,27655,2,,11322,91,,,,205,,,,,,,,,,,,,,,,,,598000
20101,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,152157,148147,229650,,43942,26,,89473,161142,71669,2096,,12636,4010,,,,,50975,50793,,,5208,,,34210,57012,22802,2,,11373,182,,,,205,,,,,,,,,,,,,,,,,,598000
20094,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,146533,144246,234223,,44602,26,,95449,166433,70984,2092,,2103,2287,,,,,45533,45351,,,5353,,,39284,56249,16965,2,,712,182,,,,205,,,,,,,,,,,,,,,,,,598000
